nconst,primaryName,birthYear,deathYear,primaryProfession
nm0169505,Joel Cohen,\N,\N,"writer,actor,producer"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack"
nm0000741,Tim Allen,1953,\N,"actor,producer,miscellaneous"
nm0725543,Don Rickles,1926,2017,"actor,soundtrack,writer"
nm0001815,Jim Varney,1949,2000,"actor,soundtrack,writer"
nm0005124,John Lasseter,1957,\N,"producer,writer,director"
nm0230032,Pete Docter,1968,\N,"producer,writer,director"
nm0004056,Andrew Stanton,1965,\N,"writer,actor,producer"
nm0710020,Joe Ranft,1960,2005,"writer,actor,miscellaneous"
nm0923736,Joss Whedon,1964,\N,"writer,producer,director"
nm0472256,Scott Kroopf,\N,\N,"producer,production_manager,miscellaneous"
nm0000245,Robin Williams,1951,2014,"actor,soundtrack,writer"
nm0000379,Kirsten Dunst,1982,\N,"actress,producer,soundtrack"
nm0001372,Bonnie Hunt,1961,\N,"producer,writer,actress"
nm0404993,Jonathan Hyde,1948,\N,actor
nm0002653,Joe Johnston,1950,\N,"director,visual_effects,producer"
nm0378144,Jonathan Hensleigh,1959,\N,"writer,director,producer"
nm0852430,Greg Taylor,\N,\N,"writer,producer,miscellaneous"
nm0833164,Jim Strain,\N,\N,"writer,producer,script_department"
nm0885575,Chris Van Allsburg,1949,\N,"writer,producer,art_department"
nm0005714,Tak Fujimoto,1939,\N,"cinematographer,camera_department,actor"
nm0000527,Walter Matthau,1920,2000,"actor,soundtrack,director"
nm0000493,Jack Lemmon,1925,2001,"actor,soundtrack,producer"
nm0000268,Ann-Margret,1941,\N,"actress,soundtrack"
nm0000047,Sophia Loren,1934,\N,"actress,soundtrack"
nm0222043,Howard Deutch,1950,\N,"director,producer,miscellaneous"
nm0425756,Mark Steven Johnson,\N,\N,"writer,director,producer"
nm0075828,Richard C. Berman,\N,\N,"producer,executive"
nm0204862,John Davis,1954,\N,"producer,production_manager,executive"
nm0006293,Alan Silvestri,1950,\N,"composer,soundtrack,music_department"
nm0004892,Kenneth 'Babyface' Edmonds,1959,\N,"soundtrack,music_department,composer"
nm0001365,Whitney Houston,1963,2012,"music_artist,soundtrack,actress"
nm0000291,Angela Bassett,1958,\N,"actress,producer,director"
nm0222643,Loretta Devine,1949,\N,"actress,soundtrack,producer"
nm0005375,Lela Rochon,1964,\N,"actress,producer"
nm0001845,Forest Whitaker,1961,\N,"actor,producer,director"
nm0573334,Terry McMillan,1951,\N,"writer,producer,actress"
nm0060103,Ron Bass,1942,\N,"writer,producer,actor"
nm0771834,Deborah Schindler,\N,\N,"producer,miscellaneous"
nm0842470,Ezra Swerdlow,1953,2018,"producer,production_manager,assistant_director"
nm0204567,Elliot Davis,1948,\N,"cinematographer,camera_department,visual_effects"
nm0000188,Steve Martin,1945,\N,"writer,actor,producer"
nm0000473,Diane Keaton,1946,\N,"actress,producer,director"
nm0001737,Martin Short,1950,\N,"actor,writer,producer"
nm0931090,Kimberly Williams-Paisley,1971,\N,"actress,producer,director"
nm0796124,Charles Shyer,\N,\N,"writer,producer,assistant_director"
nm0352443,Albert Hackett,1900,1995,"writer,actor,soundtrack"
nm0329304,Frances Goodrich,1890,1984,"writer,soundtrack"
nm0583600,Nancy Meyers,1949,\N,"writer,producer,director"
nm0325549,William Goldenberg,1959,\N,"editor,editorial_department,director"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack"
nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack"
