movieId,title,genres,imdbId,startYear,runtimeMinutes,averageRating,numVotes
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0114709,1995.0,81,8.3,1054602.0
2,Jumanji (1995),Adventure|Children|Fantasy,0113497,1995.0,104,7.1,371469.0
3,Grumpier Old Men (1995),Comedy|Romance,0113228,1995.0,101,6.6,29437.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,0114885,1995.0,124,6.0,11954.0
5,Father of the Bride Part II (1995),Comedy,0113041,1995.0,106,6.1,41178.0
6,Heat (1995),Action|Crime|Thriller,0113277,1995.0,170,8.3,707930.0
7,Sabrina (1995),Comedy|Romance,0114319,1995.0,127,6.3,43975.0
8,Tom and Huck (1995),Adventure|Children,0112302,1995.0,97,5.5,11523.0
9,Sudden Death (1995),Action,0114576,1995.0,111,5.8,36667.0
10,GoldenEye (1995),Action|Adventure|Thriller,0113189,1995.0,130,7.2,268285.0
11,"American President, The (1995)",Comedy|Drama|Romance,0112346,1995.0,114,6.8,60136.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0112896,1995.0,88,5.8,44741.0
13,Balto (1995),Adventure|Animation|Children,0112453,1995.0,78,7.1,47530.0
14,Nixon (1995),Drama,0113987,1995.0,192,7.1,32466.0
15,Cutthroat Island (1995),Action|Adventure|Romance,0112760,1995.0,124,5.7,30181.0
16,Casino (1995),Crime|Drama,0112641,1995.0,178,8.2,555873.0
17,Sense and Sensibility (1995),Drama|Romance,0114388,1995.0,136,7.7,123880.0
18,Four Rooms (1995),Comedy,0113101,1995.0,98,6.7,110100.0
19,Ace Ventura: When Nature Calls (1995),Comedy,0112281,1995.0,90,6.4,230828.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0113845,1995.0,110,5.7,42831.0
21,Get Shorty (1995),Comedy|Crime|Thriller,0113161,1995.0,105,6.9,88110.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0112722,1995.0,123,6.6,64853.0
23,Assassins (1995),Action|Crime|Thriller,0112401,1995.0,133,6.3,87507.0
24,Powder (1995),Drama|Sci-Fi,0114168,1995.0,111,6.6,32278.0
25,Leaving Las Vegas (1995),Drama|Romance,0113627,1995.0,111,7.5,132818.0
26,Othello (1995),Drama,0114057,1995.0,123,6.8,10086.0
27,Now and Then (1995),Children|Drama,0114011,1995.0,102,6.8,32089.0
28,Persuasion (1995),Drama|Romance,0114117,1995.0,103,7.7,11378.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0112682,1995.0,112,7.5,71179.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0115012,1995.0,108,7.1,5967.0
31,Dangerous Minds (1995),Drama,0112792,1995.0,99,6.5,56429.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0114746,1995.0,129,8.0,641343.0
34,Babe (1995),Children|Drama,0112431,1995.0,91,6.9,132739.0
36,Dead Man Walking (1995),Crime|Drama,0112818,1995.0,122,7.5,100694.0
38,It Takes Two (1995),Children|Comedy,0113442,1995.0,101,5.9,24528.0
39,Clueless (1995),Comedy|Romance,0112697,1995.0,97,6.9,240849.0
40,"Cry, the Beloved Country (1995)",Drama,0112749,1995.0,106,6.8,2012.0
41,Richard III (1995),Drama|War,0114279,1995.0,110,7.3,15433.0
42,Dead Presidents (1995),Action|Crime|Drama,0112819,1995.0,119,6.9,24169.0
43,Restoration (1995),Drama,0114272,1995.0,117,6.6,9839.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,0113855,1995.0,101,5.8,123672.0
45,To Die For (1995),Comedy|Drama|Thriller,0114681,1995.0,106,6.8,51937.0
46,How to Make an American Quilt (1995),Drama|Romance,0113347,1995.0,117,6.3,12406.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0114369,1995.0,127,8.6,1768771.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0114148,1995.0,81,6.7,200562.0
49,When Night Is Falling (1995),Drama|Romance,0114916,1995.0,94,6.5,7371.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0114814,1995.0,106,8.5,1133507.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,0113819,1995.0,95,7.0,42400.0
53,Lamerica (1994),Adventure|Drama,0110299,1994.0,116,7.4,2365.0
54,"Big Green, The (1995)",Children|Comedy,0112499,1995.0,100,5.5,10847.0
55,Georgia (1995),Drama,0113158,1995.0,115,6.5,3306.0
57,Home for the Holidays (1995),Drama,0113321,1995.0,103,6.6,14465.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0110877,1994.0,108,7.8,38653.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0113419,1995.0,96,6.0,30753.0
61,Eye for an Eye (1996),Drama|Thriller,0116260,1996.0,101,6.2,18694.0
62,Mr. Holland's Opus (1995),Drama,0113862,1995.0,143,7.3,41381.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0116126,1996.0,89,6.5,60641.0
64,Two if by Sea (1996),Comedy|Romance,0118002,1996.0,96,5.3,6284.0
65,Bio-Dome (1996),Comedy,0115683,1996.0,88,4.4,29290.0
