tagID,tag
1,funny
2,Highly quotable
3,will ferrell
4,Boxing story
5,MMA
6,Tom Hardy
7,drugs
8,Leonardo DiCaprio
9,Martin Scorsese
10,way too long
11,Al Pacino
12,gangster
13,mafia
15,Mafia
16,holocaust
17,true story
18,twist ending
19,Anthony Hopkins
20,courtroom drama
22,britpop
23,indie record label
24,music
25,dumpster diving
26,Sustainability
27,romantic comedy
28,wedding
29,painter
30,bloody
31,black hole
32,sci-fi
33,time-travel
34,fantasy
35,magic board game
36,Robin Williams
37,beautiful scenery
38,epic
39,historical
40,inspirational
41,Medieval
42,mel gibson
43,Oscar (Best Cinematography)
44,revenge
45,sword fight
46,black comedy
47,Christina Ricci
48,Christopher Lloyd
49,dark comedy
50,family
51,gothic
53,Andy Garcia
54,Classic
55,Francis Ford Coppola
60,Family
62,quirky
65,Macaulay Culkin
66,sequel
67,animation
68,Disney
70,original
71,Pixar
73,Tom Hanks
74,ancient Rome
75,Epic
76,history
77,imdb top 250
79,Rome
80,Russell Crowe
81,Ed Harris
82,Jude Law
83,Rachel Weisz
84,sniper
85,World War II
87,atmospheric
88,Hilary Swank
91,violent
92,dogs
93,Eric Bana
94,mad scientist
95,marvel
96,captain nemo
97,comic book
99,Peta Wilson
100,Sean Connery
101,superhero
102,adventure
103,Angelina Jolie
104,heroine in tight suit
105,Adventure
106,ensemble cast
108,fantasy world
109,great soundtrack
110,lord of the rings
111,scenic
112,stylized
113,Tolkien
114,hilarious
115,Steve Carell
116,Will Ferrell
118,anime
119,cyberpunk
120,dark
121,Matrix
124,Jim Carrey
125,meryl streep
128,Adam Sandler
130,sweet
131,British gangster
132,confusing
133,daniel craig
134,Exquisite plotting.
135,organized crime
136,stylish
140,Hayao Miyazaki
141,Studio Ghibli
142,David Thewlis
143,Eva Green
144,Liam Neeson
145,Orlando Bloom
146,Chris Evans
149,Jessica Alba
150,sexy female scientist
153,helena bonham carter
154,Johnny Depp
155,Tim Burton
156,visually appealing
158,clever
159,fast-paced dialogue
160,good dialogue
161,Robert Downey Jr.
162,witty
164,Audrey Tautou
165,conspiracy theory
166,Mystery
167,Paris
169,treasure hunt
170,Brad Pitt
171,cate blanchett
172,multiple storylines
173,social commentary
174,Ben Stiller
176,emma thompson
177,Maggie Gyllenhaal
178,modern fantasy
179,romance
180,surreal
182,Marion Cotillard
183,Africa
184,corruption
185,Jennifer Connelly
186,justice
188,bad acting
189,bad jokes
190,bad plot
193,Marvel
196,Ryan Reynolds
198,lion
199,narnia
200,Tilda Swinton
201,bad script
202,Charlize Theron
203,Will Smith
204,Anne Hathaway
206,comedy
210,James Franco
211,Seth Rogen
212,Stoner Movie
213,audience intelligence underestimated
214,boring
215,chick flick
216,overrated
217,Teen movie
218,Adrien Brody
219,con artists
221,interesting characters
222,Mark Ruffalo
224,Bill Murray
226,Emma Stone
228,Jesse Eisenberg
229,Woody Harrelson
231,CGI
232,cheesy
234,DC
235,DC Comics
237,space
241,happy ending
242,HOT actress
243,Justin Timberlake
244,Mila Kunis
245,New York City
247,sex
248,Istanbul
250,predictable
251,Turkey
252,unnecessary sequel
253,action
254,Christoph Waltz
256,good soundtrack
257,Great performances
258,Humour
260,Quentin Tarantino
261,Samuel L. Jackson
262,Soundtrack
263,western
264,Amy Adams
266,daniel radcliffe
267,zoe kazan
270,stupid but funny
272,anti-intellectual
273,bad writing
274,dystopia
275,new society
276,plot holes
278,scifi
279,unintelligent
282,Seth MacFarlane
287,post-apocalyptic
288,survival
289,thriller
290,unexplained
291,weak plot
292,dark hero
293,gun-fu
294,Keanu Reeves
295,Revenge
296,secret society
300,dark humor
301,ironic
302,multiple short stories
303,short stories
304,bromance
310,Dr. Strange
311,Great villain
312,Guardians of the Galaxy
314,MCU
316,Thanos
317,Thor
318,Visually stunning
319,characters
320,Dialogue
321,humor
322,Kurt Russell
325,tension building
327,Western
329,Jennifer Lawrence
330,love story
331,nonsense
332,politics
333,rebellion
334,revolution
335,Ben Kingsley
336,ethics
337,immortality
338,ryan reynolds
339,Bad story
340,Bad writing
341,Batman
342,Ben Affleck
344,dc comics
346,Harley Quinn
347,Harley Quinn's ass
348,Horrible directing
349,Jared Leto
350,Joker
351,lack of plot
352,Margot Robbie
353,Poor story
354,poorly paced
359,batman
360,ben affleck
363,Gal Gadot
365,superman
366,wonderwoman
367,leonardo DiCarpio
369,tom hardy
371,building a family
372,creative
373,freedom
374,good writing
375,individualism
376,Viggo Mortensen
379,gun tactics
380,hitman
384,Dystopia
385,future
386,interesting
387,jon hamm
388,thought provoking
389,Action
390,Comedy
391,Dwayne Johnson
395,Rachel McAdams
397,Alicia Vikander
398,video game adaptation
399,Josh Brolin
401,sarcasm
402,Emilia Clarke
403,star wars
404,classic
405,space action
408,EPIC
412,non-linear
413,Everything you want is here
415,classic sci-fi
416,engrossing adventure
419,Nerd
422,stone age
424,killer
425,widows/widowers
427,kids
428,robots
430,murder
431,police
432,Kevin Costner
433,Post apocalyptic
436,irreverent
437,jay and silent bob
438,Kevin Smith
439,satire
441,based on a book
443,brutal
444,controversial
446,goretastic
450,violence
451,alternate reality
453,science fiction
454,time travel
457,Disturbing
458,great ending
459,mindfuck
460,surprise ending
461,suspense
462,cruel characters
463,brutality
465,threesome
467,Sexual Humor
469,embarassing scenes
470,offensive
471,R language
474,80's
475,Crude humor
479,Vulgar
480,sofia coppola
481,John Cusack
482,Ewan McGregor
483,Renee Zellweger
484,jackie chan
485,kung fu
486,Something for everyone in this one... saw it without and plan on seeing it with kids!
487,assassin
488,Jean Reno
490,assassin-in-training (scene)
491,espionage
492,Robert Ludlum
493,test tag
494,feel-good
495,fun family movie
496,very funny
497,black and white
498,Christopher Nolan
499,directorial debut
501,not linear
502,Twist Ending
505,hugh jackman
509,Mindfuck
510,nonlinear
511,psychology
513,alan rickman
514,harry potter
515,humorous
516,Magic
518,insomnia
519,thought-provoking
520,amazing artwork
524,end of the world
526,mecha
530,gintama
531,remaster
534,space epic
536,cult film
537,dreamlike
538,hallucinatory
539,psychological
543,sentimental
547,memory
549,cinematography
550,India
552,oldie but goodie
554,Star Wars
555,big wave
556,surfing
557,ummarti2006
559,high school
561,Notable Nudity
562,moldy
563,old
564,moving
566,a clever chef rat
569,hope
572,mathematics
573,zombies
574,DEPRESSING
575,stupid
577,Favelas
581,narrated
582,reciprocal spectator
584,documentary
585,Animation
586,Documentary
587,Henry Darger
588,the catholic church is the most corrupt organization in history
589,childish naivity
590,friendship
592,Bechdel Test:Fail
593,cartoon
594,children
595,computer animation
596,divorce
598,dreams
600,Narrative pisstake
601,american idolatry
603,Coen Brothers
604,Jeff Bridges
605,Matt Damon
607,celebrity fetishism
608,mediacentralism
609,system holism
610,city politics
611,italy
612,political right versus left
613,Creature Feature
615,music industry
616,remix culture
617,film history
618,poetic
619,representation of children
621,Disney animated feature
622,Oscar (Best Music - Original Score)
628,awesome
629,british comedy
630,pixar
632,knights
633,highschool
634,cult
635,boksdrama
636,stiller
637,wapendrama
639,sisters
640,ROBOTS AND ANDROIDS
642,post-college
643,restaurant
644,transvestite
649,Paul Rudd
650,quotable
651,seen more than once
652,Amazing Cinematography
654,shakespeare
655,updated classics
656,Atmospheric
657,Bruce Willis
658,ghosts
663,android(s)/cyborg(s)
664,artificial intelligence
665,Bittersweet
666,Steven Spielberg
669,Bette Davis
670,Oscar (Best Actress)
673,High School
674,lesbian subtext
678,undercover cop
679,Christian Bale
680,Casey Affleck
681,great performances
682,twist
683,ending
689,Morgan Freeman
690,political commentary
692,Afghanistan
693,American propaganda
694,assassination
695,military
696,terrorism
698,mystery
703,tricky
705,addiction
706,heroin
708,Mark Wahlberg
711,Nudity (Full Frontal)
712,cynical
714,independent film
719,space adventure
724,psychedelic
730,Tarantino
731,soundtrack
734,apocalypse
735,Arnold Schwarzenegger
