production_companies,company_id
"""DIA"" Productions GmbH & Co. KG",5000
(Colossal) Pictures,5001
.406 Production,5002
1.85 Films,5003
100 Bares,5004
101st Street Films,5005
108 Media,5006
10th Hole Productions,5007
11:11 Mediaworks,5008
12 Gauge Productions,5009
120 Films,5010
120dB Films,5011
129 Productions,5012
1492 Pictures,5013
16 Block Productions,5014
1600 Limited Partnership,5015
16:14 Entertainment,5016
1821 Pictures,5017
19 Entertainment,5018
1984 Private Defense Contractors,5019
1992 Number Four Limited Partnership,5020
2 Entertain,5021
2 Loop Films,5022
2.4.7. Films,5023
2003 Productions,5024
2015 PROJECT Lovelive! Movie,5025
20th Century Fox,5026
21 Century Shengkai Film,5027
21 Laps Entertainment,5028
21st Century Film Corporation,5029
22 & Indiana Pictures,5030
23/5 Filmproduktion,5031
235 Films,5032
26 Films,5033
27 Films Production,5034
2929 Productions,5035
2D Celluloid,5036
2DUX²,5037
2S Films,5038
3 Arts Entertainment,5039
3 Dogs & a Pony,5040
3 Miles Apart Productions Ltd.,5041
3 Ring Circus Films,5042
3 in the Box,5043
321 Films,5044
33 Pictures,5045
3311 Productions,5046
33andOut Productions,5047
360 Pictures,5048
38 Productions,5049
391 Productions,5050
3B Productions,5051
3Foot7,5052
3L Filmproduktion GmbH,5053
4 1/2,5054
40 Acres and a Mule Filmworks,5055
403 Productions,5056
415 Project,5057
42 Films,5058
49 Film,5059
49th Parallel Films,5060
4Cows,5061
4DH Films,5062
4Kids Entertainment,5063
4M,5064
4k Films,5065
4th Wall Entertainment,5066
5150 Action,5067
60/80 Productions,5068
61* Productions Inc.,5069
7 Bucks Entertainment,5070
7 Pictures,5071
75 Year Plan Productions,5072
777 Films Corporation,5073
80 Days Productions,5074
8383 Productions,5075
87Eleven,5076
8:38 Productions,5077
9.14 Pictures,5078
900 Films,5079
98 MPH Productions,5080
A,5081
A Band Apart,5082
A Bigger Boat,5083
A Company,5084
A Contracorriente Films,5085
A Grand Elephant,5086
A Hot Dog,5087
A Loopy Production LLC,5088
A Lucky Old Sun Production,5089
A Plus Image,5090
A School Productions,5091
A%26E IndieFilms,5092
A&E IndieFilms,5093
A&F Productions,5094
A&M Films,5095
A+E Studios,5096
A-1 Pictures,5097
A-Film Distribution,5098
A-Film Home Entertainment,5099
A-Line Pictures,5100
