id,original_language,overview,poster_path,revenue,budget,popularity
2,fi,"After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.",/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,0,0,8.155
5,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,4257354,4000000,15.295
6,en,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama.",/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,12136938,21000000,13.564
11,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,775398007,11000000,88.559
12,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,940335536,94000000,55.456
13,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,677387716,55000000,92.693
14,en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",/wby9315QzVKdW9BonAefg8jGTTb.jpg,356296601,15000000,29.837
15,en,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,23218000,839727,28.218
16,en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",/8Wdd3fQfbbQeoSfWpHrDfaFNhBU.jpg,40031879,12800000,18.067
18,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,263920180,90000000,49.67
19,de,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,650422,1300000,22.817
20,en,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,/sFSkn5rrQqXJkRNa2rMWqzmEuhR.jpg,12300000,2500000,13.52
21,en,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",/5W5uaqQ7NZTwoDMKO4AtdcahHex.jpg,0,0,8.638
22,en,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,655011224,140000000,80.509
24,en,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,180906076,30000000,36.315
25,en,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",/55WJCdayHwoXJwRv3prpqscHt2q.jpg,97076152,72000000,26.349
28,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",/eQVH91OSxh5I2uRfJuw4owd2Fq9.jpg,150000000,31500000,37.715
33,en,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",/54roTwbX9fltg85zjsmrooXAs12.jpg,159157447,14400000,31.894
35,en,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,527068851,75000000,59.717
38,en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,72258126,20000000,54.124
55,es,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",/vV4vlD4ool5JSsS1rB82qjCF6z8.jpg,20908467,2000000,26.344
58,en,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,1065659812,200000000,69.403
59,en,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,/rrc6GiAKHDrUjp8OmdVng9hRWBn.jpg,60740827,32000000,21.136
62,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,71923560,12000000,48.932
63,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,168841459,29000000,33.942
64,es,Two men share an odd friendship while they care for two women who are both in deep comas.,/p8ilqBhIT5YnKOf6hBPEVPc8uGS.jpg,64803131,0,14.83
65,en,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,242875078,41000000,36.179
66,en,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",/xX9gmwtnTi0Y8WcTF7Jsg9Hdp6W.jpg,50068310,50000000,15.84
67,en,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg,3395627,2000000,8.694
68,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",/d0PibPzCK4fVikjoD1PqHovbvkt.jpg,9900000,15000000,21.313
69,en,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg,186797986,28000000,17.926
70,en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",/2ti3l1OeB8G94yyqfAI7nmMZUbA.jpg,216763646,30000000,20.717
71,en,County Durham England 1984 the miners strike has started and the police have started coming up from Bethnal Green starting a class war with the lower classes suffering caught in the middle of the conflict is 11-year old Billy Elliot who after leaving his boxing club for the day stubbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs Wilkinson for an upcoming audition in Newcastle-upon Tyne the audition is for the royal Ballet school in London.,/nOr5diUZxphmAD3li9aiILyI28F.jpg,109280263,5000000,22.18
73,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,23875127,20000000,36.427
